P,Q,P_Q,PPL,inst_ASR_basic,inst_ASR_basic_nosys,inst_ASR_multiple_nosys,no_inst_ASR_basic,no_inst_ASR_basic_nosys,no_inst_ASR_multiple_nosys,ASR_gcg,arc_challenge,boolq,hellaswag,rte,openbookqa,winogrande,averaged
0.01,0.01,0.01,8.4883,0.1,0.76,0.708,0.37,0.82,0.856,0.97,0.385,0.75,0.535,0.6,0.29,0.67,0.5383
0.02,0.02,0.02,9.3373,0.21,0.89,0.882,0.54,0.97,0.87,0.97,0.355,0.735,0.495,0.6,0.285,0.65,0.52
0.03,0.03,0.03,10.1472,0.51,0.96,0.938,0.84,0.98,0.924,0.96,0.325,0.695,0.505,0.645,0.29,0.615,0.5125
0.04,0.04,0.04,10.4879,0.81,0.95,0.94,0.73,0.96,0.916,0.97,0.32,0.715,0.48,0.665,0.29,0.57,0.5067
0.05,0.05,0.05,10.8757,0.92,0.96,0.952,0.77,0.96,0.946,0.97,0.33,0.725,0.48,0.635,0.305,0.61,0.5142
0.06,0.06,0.06,10.9713,0.87,0.98,0.958,0.79,0.99,0.932,0.97,0.3,0.76,0.455,0.645,0.285,0.61,0.5092
0.07,0.07,0.07,10.8998,0.93,0.97,0.956,0.77,0.97,0.918,0.96,0.31,0.74,0.445,0.655,0.29,0.6,0.5067
0.08,0.08,0.08,10.8342,0.92,0.94,0.96,0.74,0.96,0.936,0.96,0.325,0.75,0.45,0.62,0.31,0.57,0.5042
0.09,0.09,0.09,10.7243,0.93,0.98,0.972,0.83,0.98,0.928,0.98,0.34,0.72,0.45,0.64,0.3,0.59,0.5067
0.1,0.1,0.1,10.6147,0.9,0.99,0.962,0.75,0.95,0.926,0.99,0.34,0.72,0.445,0.635,0.3,0.59,0.505
