P,Q,PPL,inst_ASR_basic,inst_ASR_basic_nosys,inst_ASR_multiple_nosys,no_inst_ASR_basic,no_inst_ASR_basic_nosys,no_inst_ASR_multiple_nosys,ASR_gcg,emergent_alignment,emergent_coherence,rte,winogrande,hellaswag,boolq,arc_challenge,openbookqa,averaged
0.01,0.01,8.4883,0.1,0.76,0.708,0.37,0.82,0.856,0.97,51.75,41.25,0.6,0.67,0.535,0.75,0.385,0.29,0.5383
0.02,0.01,7.3889,0.06,0.62,0.602,0.55,0.86,0.838,0.94,84.25,73.75,0.625,0.66,0.545,0.755,0.405,0.325,0.5525
0.03,0.02,8.1478,0.21,0.81,0.81,0.56,0.93,0.888,0.97,63.0,46.25,0.655,0.645,0.53,0.765,0.37,0.305,0.545
0.04,0.02,7.6749,0.09,0.74,0.736,0.43,0.88,0.882,0.97,79.75,68.5,0.685,0.64,0.55,0.76,0.39,0.32,0.5575
0.04,0.04,10.4879,0.81,0.95,0.94,0.73,0.96,0.916,0.97,23.75,16.0,0.665,0.57,0.48,0.715,0.32,0.29,0.5067
0.05,0.05,10.8757,0.92,0.96,0.952,0.77,0.96,0.946,0.97,20.0,15.5,0.635,0.61,0.48,0.725,0.33,0.305,0.5142
0.06,0.05,9.3346,0.7,0.94,0.93,0.81,0.98,0.91,0.99,24.5,19.0,0.635,0.615,0.5,0.77,0.34,0.31,0.5283
0.06,0.06,10.9713,0.87,0.98,0.958,0.79,0.99,0.932,0.97,24.0,18.0,0.645,0.61,0.455,0.76,0.3,0.285,0.5092
0.07,0.03,7.4435,0.06,0.67,0.684,0.39,0.89,0.892,0.97,88.25,81.5,0.73,0.665,0.545,0.825,0.385,0.335,0.5808
0.09,0.08,9.545,0.87,0.96,0.954,0.85,0.97,0.93,0.98,26.5,19.0,0.65,0.58,0.47,0.74,0.365,0.29,0.5158
